Rel. Level,Noise Level,Noise Area,layer,attn_ratio
Incongruent,0.0,Target,8,0.1324955189840473
Incongruent,0.0,Target,9,0.1411074549174924
Incongruent,0.0,Target,10,0.15529923138938928
Incongruent,0.0,Target,11,0.15281528195076988
Incongruent,0.0,Target,12,0.15928476447288906
Incongruent,0.0,Target,13,0.16515015587175377
Incongruent,0.0,Target,14,0.14918363500195977
Incongruent,0.0,Target,15,0.18018660276429727
Incongruent,0.0,Target,16,0.15760478355858307
Incongruent,0.0,Target,17,0.1457731803244149
Incongruent,0.0,Target,18,0.11704205653319756
Incongruent,0.0,Target,19,0.11797311574883872
Incongruent,0.0,Target,20,0.11144343395717442
Incongruent,0.0,Target,21,0.10531113665536836
Incongruent,0.0,Target,22,0.08145667886128649
Incongruent,0.0,Target,23,0.10358065879184075
Incongruent,0.0,Target,24,0.09781509979282309
Incongruent,0.0,Target,25,0.10600749330073031
Incongruent,0.5,All,0,0.01955192003797768
Incongruent,0.5,All,1,0.01580661320970676
Incongruent,0.5,All,2,0.02363378071635397
Incongruent,0.5,All,3,0.03205076951276031
Incongruent,0.5,All,4,0.04487449132209418
Incongruent,0.5,All,5,0.05949570597184709
Incongruent,0.5,All,6,0.05222234910955497
Incongruent,0.5,All,7,0.06413576059038116
Incongruent,0.5,All,8,0.05358277861228227
Incongruent,0.5,All,9,0.05787171075565063
Incongruent,0.5,All,10,0.06590173805803219
